id,nama,kategori,alamat,kecamatan,lat,long,jam_buka,jam_tutup,harga,menu,kontak,sumber,tanggal_verifikasi
16,Rujak Soto Kencong,Makanan Berat,"Jl. Krakatau, Kencong",Kencong,-8.2615,113.366,09:00,17:00,Rp 15.000,Rujak Soto,[Unverified],Google Maps,2026-07-20
17,Sate Kambing Balung,Makanan Berat,Pasar Balung,Balung,-8.2711,113.5281,16:00,22:00,Rp 30.000,Sate Kambing,[Unverified],Google Maps,2026-07-20
18,Warung Tahu Campur Rambipuji,Makanan Berat,Jl. Raya Rambipuji,Rambipuji,-8.2115,113.6062,16:00,22:00,Rp 15.000,Tahu Campur Lamongan,[Unverified],Google Maps,2026-07-20
19,Kafe Kolong,Kafe,Bawah Jembatan Mastrip,Sumbersari,-8.161,113.7144,18:00,01:00,Rp 15.000,"Kopi Jember, Roti Bakar",[Unverified],Google Maps,2026-07-20
20,Tebing Cafe,Kafe,Taman Botani Sukorambi,Sukorambi,-8.1565,113.6552,08:00,21:00,Rp 30.000,"Steak, Kopi",[Unverified],Google Maps,2026-07-20
21,Rollas Cafe,Kafe,Jl. Gajah Mada No. 1,Kaliwates,-8.1725,113.6931,10:00,22:00,Rp 25.000,"Kopi Kebun, Kudapan",[Unverified],Google Maps,2026-07-20
22,Senja Di Kopi,Kafe,Jl. Letjen Panjaitan,Sumbersari,-8.1691,113.7088,15:00,23:00,Rp 20.000,"Kopi Senja, Snack",[Unverified],Google Maps,2026-07-20
23,Hihi Cafe & Resto,Kafe,Jl. Sumatera,Sumbersari,-8.1645,113.7141,10:00,23:00,Rp 30.000,"Mocktail, Pasta",[Unverified],Google Maps,2026-07-20
24,Kopi Doel,Kafe,Jl. Mastrip,Sumbersari,-8.1622,113.7155,15:00,24:00,Rp 15.000,"Es Kopi Susu, Mie Goreng",[Unverified],Google Maps,2026-07-20
25,Primadona Pusat Oleh-Oleh Jember,Oleh-Oleh,Jl. Trunojoyo No. 137,Kaliwates,-8.1701,113.6972,08:00,21:00,Rp 40.000,"Suwar-Suwir, Tape Singkong, Prol Tape",(0331) 333333,Google Maps,2026-07-20
26,Sari Rasa Tape Jember,Oleh-Oleh,Jl. Gajah Mada No. 25,Kaliwates,-8.1735,113.6912,07:00,20:00,Rp 25.000,Tape Manis Jember,[Unverified],Google Maps,2026-07-20
27,Prol Tape Sari Madu,Oleh-Oleh,Jl. Trunojoyo,Kaliwates,-8.171,113.6975,08:00,20:00,Rp 35.000,Prol Tape,[Unverified],Google Maps,2026-07-20
28,Pia Kukus Edamame,Oleh-Oleh,Mitratani Jember,Mangli,-8.1882,113.6451,08:00,16:00,Rp 35.000,"Pia Edamame, Kedelai Edamame",[Unverified],"Google Maps, Situs Resmi",2026-07-20
29,Pusat Oleh-oleh Jember (Lokal),Oleh-Oleh,Sekitar Stasiun Jember,Patrang,-8.1634,113.7042,07:00,21:00,Rp 20.000,Suwar-Suwir Berbagai Rasa,[Unverified],Google Maps,2026-07-20
30,Pabrik Cerutu BIN Cigar,Oleh-Oleh,Jl. Brawijaya,Jubung,-8.1895,113.6558,08:00,16:00,Rp 50.000,Cerutu Lokal Kualitas Ekspor,[Unverified],Google Maps,2026-07-20
